User,Scenario,Velocity,Dist to Front,Dist to Back,Dist to Left-Front,Dist to Left-Back,Dist to Right-Front,Dist to Right-Back
40,0,18.3776230682,94.0005429549,126.270332305,95.0058817866,78.5262442645,166.353623886,166.648537911
40,1,16.5781540896,146.685659063,148.128281014,157.902084149,155.788621297,164.120090368,170.474997513
41,0,18.0782819136,125.131256973,89.5531976287,66.2846976602,66.3331014862,196.694628309,196.756650447
41,1,17.5733088708,168.159863305,176.675741711,150.820046413,148.836273617,181.911116338,185.169868225
42,0,17.7238565432,41.3298473839,90.8842962001,53.3161741356,65.3669217672,149.180847051,163.821421968
42,1,21.3707938357,115.497773984,132.132870607,138.153847311,139.730899423,123.658364247,131.985648113
43,0,16.5099508117,117.540557863,127.651135084,99.130883352,98.7426600612,190.507399335,193.851345759
43,1,16.2540480246,57.6846486215,107.928856862,60.7727331489,63.0986062429,168.64591778,183.680745387
44,0,18.674300893,89.0021304131,179.387207265,50.7762317462,49.5440035427,195.716537749,200.0
44,1,18.9552127072,156.887419473,157.540568353,123.054071955,127.642035744,197.718187616,200.0
45,0,16.8598655827,63.4363275515,108.536461746,61.3703699473,58.780890712,190.121133441,200.0
45,1,14.8689749527,151.580564581,154.073770241,161.379587243,160.46945555,175.842222226,177.391580569
46,0,18.0651474521,68.5182370245,97.5893541855,54.4226068894,54.5882511512,194.441380571,200.0
46,1,20.002187095,173.821889834,165.263124765,149.851988112,153.605517806,198.109594636,198.841266136
47,0,25.7430356879,153.047852272,155.682343874,173.897610488,176.800146397,149.757899225,153.945040003
47,1,17.5959638738,42.1164081829,84.5292492134,78.5168329744,75.021579781,88.8511081045,90.1142777388
-1,-1,17.4323163939,84.3360689783,112.257670067,89.7942354068,94.6501051094,149.031066501,158.590731505
-2,-2,28.1029,220.0,220.0,220.0,220.0,220.0,220.0
-3,-3,1e-06,0.00500051,0.00315441,0.000412323,0.000121185,7.41507e-05,0.000971311
