Scenario,User,st_a_ave,st_ag,st_angle_ave,st_cl,st_d_f_ave,st_d_lf_ave,st_d_rf_ave,st_ls_a,st_ls_l,st_ls_r,st_nc,st_os,st_t_stamp,st_tc,st_v_ave
0.0,28.0,1.4319488662,1,0.0,1,86.7503142836,87.8351630169,94.6191945316,1,1,0,0,0,30.1293,0,13.9773314807
1.0,28.0,1.55623242828,0,0.0,2,123.627642405,113.837105813,183.969879316,0,0,0,0,0,30.0143,0,19.6338250204
0.0,29.0,0.815579687611,0,0.0105942,2,45.6440640657,48.4846539328,76.8669271412,0,0,0,0,0,30.0278,0,12.4416977093
1.0,29.0,0.83309035255,0,0.0,1,63.0434336955,71.3718845267,82.0577123326,0,0,0,0,0,30.0789,0,13.5844793376
0.0,30.0,2.00567202725,0,0.0161196886376,2,79.4259248471,88.3468175469,119.347343474,0,0,0,0,0,30.0715,0,9.57256899623
1.0,30.0,0.932871588778,0,0.0,2,54.4503257941,50.3271192046,83.8423261763,0,0,0,0,0,30.0777,0,13.7659858755
0.0,31.0,1.19610943892,0,0.0,1,36.8462904025,41.222381352,34.6803440317,0,0,0,0,0,30.1078,0,13.2667617092
1.0,31.0,1.13834524157,1,0.0133554303851,2,53.8033188575,62.090628628,93.4046833131,1,0,1,1,0,30.0469,0,16.5819102933
0.0,32.0,0.929778293279,1,0.0,1,161.746952398,144.296299459,163.413733792,1,1,0,0,0,30.0584,0,13.1803594173
1.0,32.0,1.16974569975,1,0.0112311925131,0,34.3511933799,75.9505598945,98.9130083234,0,0,0,1,0,30.011,1,16.5369928476
0.0,33.0,0.647893097344,0,0.0,1,105.574956592,144.633983583,147.280870051,0,0,0,0,0,30.0726,0,6.58848248846
1.0,33.0,0.824931121476,0,0.0,1,146.83598824,122.471862587,124.048029415,0,0,0,0,0,30.057,0,9.06009696152
0.0,34.0,0.687995258092,1,0.0,1,131.101452561,140.892610121,144.354594835,1,0,1,0,0,30.0952,0,8.33117500521
1.0,34.0,0.396927929038,0,0.0,1,161.854122596,150.644017803,154.429555677,0,0,0,0,0,30.1267,0,7.31681536206
0.0,35.0,1.32432184494,0,0.0113299181395,0,105.48401147,155.028529375,123.513938581,0,0,0,0,0,30.0133,0,18.623154874
1.0,35.0,2.15377421024,0,0.0,2,73.7849505817,108.175487933,81.0029531398,0,0,0,0,0,30.1113,0,12.8835620781
