Scenario,User,st_a_ave,st_ag,st_angle_ave,st_cl,st_d_f_ave,st_d_lf_ave,st_d_rf_ave,st_ls_a,st_ls_l,st_ls_r,st_nc,st_os,st_t_stamp,st_tc,st_v_ave
0.0,10.0,0.846053842202,0,0,0,65.9836518744,44.0765376602,192.15877078,0,0,0,0,0,180.019,0,16.9159468683
1.0,10.0,2.12056050298,1,0,0,36.4704853404,70.2493743833,175.139170025,0,0,0,0,1,180.033,0,16.4876005475
0.0,11.0,0.779603597214,0,0,2,40.7383435699,43.1812851366,200.0,0,0,0,0,0,180.066,0,21.4409547803
1.0,11.0,0.463357645103,0,0,2,48.2637666465,67.4077922753,88.4810518247,0,0,0,0,0,180.085,0,17.930866701
0.0,12.0,1.12466177175,0,0,1,19.6312383485,56.2086978755,48.9165259175,0,0,0,0,0,180.035,0,13.1279074516
1.0,12.0,1.05531767804,1,0,1,17.9412239008,44.4213323472,66.8575105417,1,1,0,0,0,180.084,0,14.6059281178
0.0,13.0,0.445504456514,0,0,2,15.3462621185,33.8441315704,200.0,0,0,0,0,0,180.118,0,16.3591132087
1.0,13.0,0.424857027147,0,0,2,80.5718775761,48.9901700495,151.024269964,0,0,0,0,0,180.0,0,20.3628202234
0.0,14.0,0.910331125589,0,0,2,25.0773150488,59.9050862731,178.199060229,0,0,0,0,0,180.02,0,17.0043717805
1.0,14.0,1.15886788978,1,0,2,29.69079018,132.075293577,94.7157258664,1,1,1,0,0,180.033,0,18.6942464157
0.0,15.0,0.661617004108,1,0,2,38.5872653118,38.1017576092,164.733243083,1,0,1,0,0,180.068,0,20.0999358922
1.0,15.0,0.297519399184,0,0,2,68.6066384854,121.314513121,91.5195017886,0,0,0,0,0,180.05,0,17.9100663724
0.0,16.0,0.693193976759,0,0,2,41.9745542978,56.1817192111,200.0,0,0,0,0,0,180.067,0,18.2295753563
1.0,16.0,1.96442161871,0,0,1,32.4184234415,198.528621794,34.3361303846,0,0,0,0,0,180.017,0,12.1969660191
0.0,17.0,2.15126586127,1,0,2,78.227858744,96.1306973297,120.128003644,1,0,1,0,0,180.133,0,14.7996485274
1.0,17.0,1.348725427,0,0,2,13.6672835799,92.0990292757,180.444057823,0,0,0,0,0,180.032,0,19.5763858644
0.0,18.0,0.458195630081,0,0,1,20.3732598407,52.6439710444,35.2253629146,0,0,0,0,0,180.134,0,14.8347411314
1.0,18.0,0.536595572606,0,0,2,22.8020360752,14.4935891834,200.0,0,0,0,0,0,180.046,0,16.8809338766
0.0,19.0,0.49111287003,0,0,2,34.644056254,51.441987832,200.0,0,0,0,0,0,180.031,0,13.2631328167
1.0,19.0,0.978602380432,1,0,0,125.979353683,193.902774863,93.5547737282,1,1,0,0,0,180.032,0,7.73744715544
0.0,20.0,0.432225575589,0,0,1,38.179660006,4.99963952208,28.1903514768,0,0,0,0,0,180.064,0,14.2723189803
1.0,20.0,0.661216667003,1,0,2,21.5728525023,35.5439341024,200.0,1,0,1,0,0,180.092,0,20.1635298276
0.0,21.0,1.40628508824,0,0,2,78.8833189866,42.8947665111,189.567579154,0,0,0,0,0,180.012,0,20.9489922165
1.0,21.0,0.426094169275,0,0,1,62.0647318534,111.193099195,50.5558408915,0,0,0,0,0,180.01,0,20.5243778547
0.0,22.0,0.918560293552,0,0,2,100.136011589,53.0520541137,200.0,0,0,0,0,0,180.023,0,20.9616732383
1.0,22.0,0.804071074554,0,0,0,89.5318236684,200.0,32.7893408437,0,0,0,0,0,180.057,0,12.0620093813
0.0,23.0,0.84761886795,0,0,2,132.77545277,96.9336404403,200.0,0,0,0,0,0,180.108,0,21.7489811954
1.0,23.0,0.647083965491,1,0,1,24.9411772078,101.217576387,55.4533872417,1,1,0,0,0,180.055,0,15.8189936906
0.0,24.0,0.723327674672,0,0,2,8.04769560104,27.5723562802,200.0,0,0,0,0,0,180.074,0,14.991671935
1.0,24.0,0.569247144765,1,0,2,7.65173736201,57.5827114771,200.0,0,0,0,0,0,180.139,1,13.2997946071
